NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ERBB2_UP.V1_UP	190	184		
CYCLIN_D1_KE_.V1_DN	191	136		
CYCLIN_D1_UP.V1_DN	190	156		
AKT_UP_MTOR_DN.V1_DN	186	159		
AKT_UP.V1_DN	188	154		
MTOR_UP.V1_DN	182	156		
VEGF_A_UP.V1_DN	193	169		
ATF2_S_UP.V1_DN	187	147		
ATF2_UP.V1_DN	185	145		
P53_DN.V1_DN	194	155		
SNF5_DN.V1_DN	157	115		
SNF5_DN.V1_UP	174	147		
LTE2_UP.V1_UP	188	176		
MEK_UP.V1_UP	195	191		
RAF_UP.V1_UP	193	184		
MTOR_UP.N4.V1_UP	196	182		
ESC_J1_UP_EARLY.V1_DN	173	152		
ESC_J1_UP_LATE.V1_DN	168	140		
ESC_V6.5_UP_EARLY.V1_DN	161	133		
ESC_V6.5_UP_LATE.V1_DN	179	148		
RPS14_DN.V1_UP	191	155		
HOXA9_DN.V1_UP	192	180		
STK33_NOMO_UP	290	262		
STK33_SKM_UP	278	247		
STK33_UP	285	261		
KRAS.DF.V1_UP	191	175		
TBK1.DF_DN	286	279		
TBK1.DF_UP	287	273		
LEF1_UP.V1_UP	194	163		
PGF_UP.V1_UP	190	176		
E2F1_UP.V1_UP	188	173		
EGFR_UP.V1_DN	196	182		
ERBB2_UP.V1_DN	197	186		
GCNP_SHH_UP_EARLY.V1_UP	173	145		
GCNP_SHH_UP_LATE.V1_UP	181	156		
HINATA_NFKB_IMMU_INF	15		Rejected!	
CSR_EARLY_UP.V1_UP	153	148		
CSR_LATE_UP.V1_DN	147	128		
CSR_LATE_UP.V1_UP	166	139		
AKT_UP_MTOR_DN.V1_UP	178	158		
AKT_UP.V1_UP	169	149		
MTOR_UP.V1_UP	169	138		
WNT_UP.V1_DN	171	128		
P53_DN.V2_UP	148	90		
RELA_DN.V1_UP	149	115		
P53_DN.V1_UP	194	176		
E2F3_UP.V1_DN	163	131		
MYC_UP.V1_DN	172	145		
MYC_UP.V1_UP	181	157		
SRC_UP.V1_DN	170	138		
SRC_UP.V1_UP	178	126		
LTE2_UP.V1_DN	195	183		
MEK_UP.V1_DN	193	175		
RAF_UP.V1_DN	193	175		
PRC1_BMI_UP.V1_DN	187	130		
PRC2_EED_DN.V1_DN	193	175		
PRC2_EZH2_UP.V1_DN	192	147		
PRC2_SUZ12_UP.V1_DN	192	128		
BRCA1_DN.V1_DN	139	102		
CTIP_DN.V1_DN	134	99		
PKCA_DN.V1_UP	159	125		
PTEN_DN.V2_DN	143	130		
DCA_UP.V1_DN	185	153		
ALK_DN.V1_DN	139	93		
ALK_DN.V1_UP	140	91		
BMI1_DN_MEL18_DN.V1_DN	147	116		
BMI1_DN_MEL18_DN.V1_UP	145	118		
BMI1_DN.V1_DN	140	112		
BMI1_DN.V1_UP	147	124		
MEL18_DN.V1_DN	147	113		
MEL18_DN.V1_UP	141	118		
PTEN_DN.V1_UP	186	118		
NOTCH_DN.V1_UP	186	133		
RB_DN.V1_UP	117	104		
RB_P107_DN.V1_UP	130	101		
RB_P130_DN.V1_UP	129	104		
CAHOY_ASTROGLIAL	100	82		
RPS14_DN.V1_DN	186	166		
IL15_UP.V1_UP	189	158		
IL2_UP.V1_UP	190	155		
IL21_UP.V1_UP	186	127		
TGFB_UP.V1_UP	189	160		
HOXA9_DN.V1_DN	190	167		
KRAS.AMP.LUNG_UP.V1_DN	142	102		
KRAS.AMP.LUNG_UP.V1_UP	140	81		
KRAS.300_UP.V1_DN	140	93		
KRAS.300_UP.V1_UP	142	91		
KRAS.50_UP.V1_DN	47	26		
KRAS.50_UP.V1_UP	48	31		
KRAS.600_UP.V1_DN	279	180		
KRAS.600_UP.V1_UP	278	181		
KRAS.600.LUNG.BREAST_UP.V1_DN	284	187		
KRAS.600.LUNG.BREAST_UP.V1_UP	280	174		
KRAS.BREAST_UP.V1_DN	143	91		
KRAS.BREAST_UP.V1_UP	140	85		
KRAS.KIDNEY_UP.V1_DN	135	81		
KRAS.KIDNEY_UP.V1_UP	141	84		
KRAS.LUNG_UP.V1_DN	142	92		
KRAS.LUNG_UP.V1_UP	140	92		
KRAS.LUNG.BREAST_UP.V1_DN	141	93		
KRAS.LUNG.BREAST_UP.V1_UP	141	93		
KRAS.PROSTATE_UP.V1_DN	141	83		
KRAS.PROSTATE_UP.V1_UP	137	96		
LEF1_UP.V1_DN	187	175		
