NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	28	27		
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	10		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	19	19		
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	9		Rejected!	
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	204	166		
GOBP_RESPONSE_TO_OXYGEN_RADICAL	29	21		
GOBP_PROTEIN_DENEDDYLATION	10		Rejected!	
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	10		Rejected!	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	322	278		
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	77	67		
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	60	52		
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	50	38		
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	5		Rejected!	
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	11		Rejected!	
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	23		Rejected!	
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	42	34		
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	7		Rejected!	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	88	84		
GOBP_MITOPHAGY	34	33		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	9		Rejected!	
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	35	35		
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	37	35		
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15	15		
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	24	24		
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	27	27		
GOBP_MATURATION_OF_LSU_RRNA	28	28		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	15	15		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	7		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	12		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	10		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	43	27		
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	17		Rejected!	
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	15	15		
GOBP_TELOMERE_MAINTENANCE	132	123		
GOBP_RECOMBINATIONAL_REPAIR	164	151		
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	19	16		
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	37	31		
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	26	20		
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	5		Rejected!	
GOBP_SISTER_CHROMATID_SEGREGATION	207	182		
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	8		Rejected!	
GOBP_CELL_MORPHOGENESIS	1004		Rejected!	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	711		Rejected!	
GOBP_CYTOKINESIS	174	149		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	123	120		
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	49	49		
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	20	20		
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	23	23		
GOBP_RRNA_5_END_PROCESSING	5		Rejected!	
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	129	105		
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	9		Rejected!	
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15		Rejected!	
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	8		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	523	399		
GOBP_OSSIFICATION	419	310		
GOBP_NEUROTRANSMITTER_UPTAKE	43	27		
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	214	164		
GOBP_ACTION_POTENTIAL	143	98		
GOBP_RNA_METHYLATION	83	82		
GOBP_PSEUDOURIDINE_SYNTHESIS	18	18		
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	149	100		
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	57	43		
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	10		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	9		Rejected!	
GOBP_LUTEINIZATION	12		Rejected!	
GOBP_LUTEOLYSIS	7		Rejected!	
GOBP_OOCYTE_MATURATION	27	22		
GOBP_FATTY_ACID_ALPHA_OXIDATION	7		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	27	19		
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	35	25		
GOBP_VASCULOGENESIS	80	64		
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	26	20		
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	16		Rejected!	
GOBP_MICROTUBULE_BUNDLE_FORMATION	119	99		
GOBP_OSTEOBLAST_DIFFERENTIATION	241	176		
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	353	278		
GOBP_METANEPHROS_DEVELOPMENT	89	62		
GOBP_TEMPERATURE_HOMEOSTASIS	177	140		
GOBP_FEVER_GENERATION	11		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	482	340		
GOBP_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	36	33		
GOBP_ACROSOME_ASSEMBLY	18		Rejected!	
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	111	90		
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	155	116		
GOBP_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GOBP_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GASTRIC_ACID_SECRETION	18		Rejected!	
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	389	333		
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	26	19		
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	123	96		
GOBP_ENDODERM_FORMATION	55	44		
GOBP_CELL_FATE_SPECIFICATION	96	62		
GOBP_CELL_FATE_DETERMINATION	43	29		
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	17		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	15		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	11		Rejected!	
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	96	84		
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	45	31		
GOBP_NEURAL_CREST_CELL_MIGRATION	60	42		
GOBP_SOMITOGENESIS	65	43		
GOBP_SOMITE_SPECIFICATION	5		Rejected!	
GOBP_ORGAN_INDUCTION	24	16		
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	199	152		
GOBP_NEURON_MIGRATION	164	113		
GOBP_MEMBRANE_RAFT_ASSEMBLY	11		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	14		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	15		Rejected!	
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29	25		
GOBP_MICROGLIAL_CELL_ACTIVATION	47	31		
GOBP_CELL_ACTIVATION	1095		Rejected!	
GOBP_LEUKOCYTE_HOMEOSTASIS	89	77		
GOBP_PLASMA_MEMBRANE_REPAIR	24	23		
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	24	22		
GOBP_NEUTROPHIL_HOMEOSTASIS	16		Rejected!	
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	7		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	31	30		
GOBP_B_CELL_APOPTOTIC_PROCESS	26	24		
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	14		Rejected!	
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY	5		Rejected!	
GOBP_CYTOKINE_PRODUCTION	828		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	365	214		
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	476	383		
GOBP_SEROTONIN_SECRETION	9		Rejected!	
GOBP_HISTAMINE_SECRETION	12		Rejected!	
GOBP_MESONEPHROS_DEVELOPMENT	99	75		
GOBP_BLASTOCYST_DEVELOPMENT	113	94		
GOBP_BLASTOCYST_FORMATION	43	37		
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	19	16		
GOBP_BLASTOCYST_GROWTH	21	18		
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	13		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	56	49		
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	164	130		
GOBP_NEURAL_PLATE_MORPHOGENESIS	5		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	8		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	104	94		
GOBP_NEURAL_FOLD_FORMATION	6		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	6		Rejected!	
GOBP_PHAGOLYSOSOME_ASSEMBLY	17	15		
GOBP_NK_T_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	9		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GOBP_RESPONSE_TO_YEAST	7		Rejected!	
GOBP_RECEPTOR_RECYCLING	33	30		
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	69	62		
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	11		Rejected!	
GOBP_PLACENTA_DEVELOPMENT	148	123		
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	88	75		
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	33	25		
GOBP_RETINA_HOMEOSTASIS	80	57		
GOBP_CELL_KILLING	187	121		
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	130	98		
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	85	59		
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	50	42		
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	40	33		
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	10		Rejected!	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	30	25		
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	22	19		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	12		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1104		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	726		Rejected!	
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	201	119		
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	77	33		
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	111	73		
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	36	24		
GOBP_VASCULATURE_DEVELOPMENT	819		Rejected!	
GOBP_LYMPH_VESSEL_DEVELOPMENT	30	20		
GOBP_LYMPHANGIOGENESIS	18		Rejected!	
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	123	103		
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	40	29		
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	55	48		
GOBP_BLOOD_VESSEL_MATURATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	17		Rejected!	
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	27	17		
GOBP_STARTLE_RESPONSE	24	15		
GOBP_SUCKLING_BEHAVIOR	12		Rejected!	
GOBP_BLOOD_VESSEL_REMODELING	46	32		
GOBP_RESPONSE_TO_AMPHETAMINE	30	22		
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	14		Rejected!	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	15		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	38	24		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	16		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	9		Rejected!	
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	6		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	9		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	513	413		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	59	50		
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	9		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	29	18		
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	6		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	12		Rejected!	
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	26		Rejected!	
GOBP_REGULATION_OF_HEART_RATE	105	75		
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	90	70		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	15		Rejected!	
GOBP_BRAIN_RENIN_ANGIOTENSIN_SYSTEM	5		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	7		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	189	96		
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	94	45		
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	55	20		
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	24	18		
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	23	21		
GOBP_CHONDROCYTE_DIFFERENTIATION	110	93		
GOBP_CHONDROCYTE_DEVELOPMENT	31	27		
GOBP_EPITHELIAL_CELL_DEVELOPMENT	208	175		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	92	72		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	44	38		
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	54	43		
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	29	26		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	6		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	15		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	18		Rejected!	
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	24	19		
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	13		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	86	64		
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	22	18		
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	59	45		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	17		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	28	20		
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	18		Rejected!	
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	18	17		
GOBP_TRNA_WOBBLE_URIDINE_MODIFICATION	15		Rejected!	
GOBP_STORE_OPERATED_CALCIUM_ENTRY	21	17		
GOBP_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	8		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	148	144		
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	13		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	27	27		
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	5		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	82	76		
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS_INVOLVED_IN_IMMUNE_RESPONSE	52	48		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	58	50		
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	180	159		
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	126	108		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	27		Rejected!	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	76	54		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	31	26		
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	354	252		
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	5		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	123	100		
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	9		Rejected!	
GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING	7		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	8		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	719	371		
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	41	20		
GOBP_IMMUNE_EFFECTOR_PROCESS	668	486		
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	379	274		
GOBP_LYMPHOCYTE_HOMEOSTASIS	65	57		
GOBP_MYELOID_CELL_HOMEOSTASIS	161	143		
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	291	238		
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	234	186		
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	95	81		
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	55	47		
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	18		Rejected!	
GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	21	20		
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	202	161		
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	116	85		
GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	10		Rejected!	
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	76	63		
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT	17		Rejected!	
GOBP_T_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	86	74		
GOBP_GERMINAL_CENTER_B_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_PLASMA_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION	22	20		
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	33		Rejected!	
GOBP_B_CELL_LINEAGE_COMMITMENT	6		Rejected!	
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	11		Rejected!	
GOBP_PRO_B_CELL_DIFFERENTIATION	12		Rejected!	
GOBP_MATURE_B_CELL_DIFFERENTIATION	34	25		
GOBP_RESPONSE_TO_TUMOR_CELL	40	33		
GOBP_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	10		Rejected!	
GOBP_DEFENSE_RESPONSE_TO_TUMOR_CELL	11		Rejected!	
GOBP_T_CELL_LINEAGE_COMMITMENT	28	23		
GOBP_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	101	87		
GOBP_T_CELL_CYTOKINE_PRODUCTION	38	32		
